image,class_label
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0085.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0099.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0071.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0093.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0076.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0084.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0073.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0070.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0070.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0082.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0080.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0096.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0077.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0074.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0092.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0095.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0089.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0071.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0075.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0094.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0069.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0087.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0097.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0079.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0090.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0098.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0091.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0052.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0072.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0100.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0081.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0083.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0086.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0090.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0078.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0088.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0024.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0014.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_pla_0014.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0027.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0086.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0094.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0002.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0038.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0096.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0062.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0063.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0090.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0017.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0079.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0015.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0027.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0084.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0048.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0054.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0014.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0075.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0032.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_pla_0055.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_pla_0026.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0086.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0016.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0055.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0099.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0038.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0062.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0018.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0009.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0050.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0093.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0048.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0037.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0029.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0085.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_pla_0066.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0064.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0031.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0078.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_nat_0006.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0069.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0061.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_txt_0061.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_pla_0063.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0028.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0046.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0016.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_pla_0081.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_arc_0075.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0007.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0011.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0065.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_cha_0060.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_sec_0008.jpg,1
/content/drive/MyDrive/project/CASIA1/Au/Au_art_0036.jpg,1
